[Header]
TITLE,H20250604(P250415 HPHT 475C 6GPa 3.5h YBCO7).dat
BYAPP,HeatCapacity,3.9.11,1.7
INFO,8.45,MASS:Sample Mass (mg)
INFO,0.05,MASSERR:Sample Mass Error (mg)
INFO,666.22,MOLWGHT:Formula Weight (g/mole)
INFO,13,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.11 Build 2,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (mJ/mole-K),Samp HC Err (mJ/mole-K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (mJ/mole-K/K),Addenda Offset HC (µJ/K)
20731070.88,,5905,6.07718,6.0856,-0.696,9.3E-6,5.9887561,0.058332177,139.3989,1.595,4.2639379,0.01701,6.0320036,0.01731,2.1211678,0.92383937,0.009829755,95.073706,338.93165,1.767,1,,,,6.5586584E-6,1.8528456,35.8652,23.276771,0
20731298.89,,5905,6.57867,6.5878,-0.696,9.4E-6,6.4806366,0.059552031,166.05401,1.965,5.2708511,0.02109,7.3769968,0.02158,1.4331709,1.024821,0.013758171,93.761375,345.98966,1.855,1,,,,7.2379018E-6,1.8476787,41.99865,25.623102,0
20731327.17,,5905,6.5791,6.5877,-0.696,9.4E-6,6.4827739,0.062972648,167.07966,1.969,5.2761349,0.02111,7.3952894,0.0216,0.98120077,1.0207828,0.011788405,94.605219,345.39411,1.846,1,,,,7.2790449E-6,2.049642,42.026358,25.772865,0
20731355.75,,5905,6.5789,6.588,-0.696,9.3E-6,6.4828366,0.062882508,166.02657,1.97,5.2764133,0.02112,7.3822109,0.02166,1.1600246,1.023791,0.01401029,93.644003,346.12619,1.86,1,,,,7.2510414E-6,2.0415657,42.027171,25.610173,0
20731584.48,,5905,7.12104,7.1333,-0.696,9.3E-6,7.0162323,0.064220686,200.58641,2.67,6.5201696,0.03014,9.0643069,0.03034,2.4833797,1.135212,0.015379601,93.647743,351.72093,2.079,1,,,,8.0279393E-6,2.0475819,49.227516,28.588906,0
20731613.25,,5905,7.12165,7.1332,-0.696,9.4E-6,7.0187166,0.068259193,200.49712,2.676,6.5272764,0.03021,9.0702812,0.03042,2.5801724,1.1294623,0.013456114,94.374338,351.89769,2.085,1,,,,8.0687034E-6,2.2704239,49.262383,28.566066,0
20731642.45,,5905,7.12202,7.1335,-0.696,9.4E-6,7.0189871,0.068081252,199.88328,2.675,6.5279485,0.03021,9.0631677,0.03043,1.6114573,1.1301786,0.014050927,94.133891,352.27113,2.092,1,,,,8.0588325E-6,2.2589247,49.266181,28.477511,0
20731877.58,,5905,7.71032,7.7235,-0.696,9.4E-6,7.594871,0.069233764,242.22986,3.305,8.0271101,0.03741,11.099432,0.03777,1.5157326,1.2532989,0.016413101,93.800422,357.52503,2.157,1,,,,8.9016182E-6,2.2603572,57.682066,31.893874,0
20731908.08,,5905,7.71024,7.7238,-0.696,9.4E-6,7.5975677,0.073776175,242.38813,3.302,8.0360164,0.0374,11.110346,0.03773,1.5783819,1.2525152,0.016757713,93.67226,357.57411,2.155,1,,,,8.9169336E-6,2.5065979,57.723035,31.903386,0
20731937.08,,5905,7.71041,7.7244,-0.696,9.4E-6,7.5979897,0.073846194,242.06674,3.301,8.0372991,0.0374,11.107552,0.03772,1.2993933,1.2570043,0.017270734,93.507207,357.75216,2.157,1,,,,8.8840622E-6,2.5050305,57.729447,31.859315,0
20732173.78,,5905,8.3477,8.3628,-0.696,9.3E-6,8.2217554,0.07487548,300.08124,3.12,9.8176978,0.03173,13.623778,0.03254,1.6099764,1.3977767,0.018983477,93.616319,360.36846,1.731,1,,,,9.7993392E-6,2.5140087,67.597262,36.49844,0
20732204.84,,5905,8.34865,8.3629,-0.696,9.3E-6,8.2256114,0.080572968,298.78134,3.094,9.8216017,0.03172,13.611194,0.0322,1.1624212,1.3871202,0.017931252,93.8964,361.05958,1.728,1,,,,9.8626501E-6,2.7955534,67.660684,36.323299,0
20732235.59,,5905,8.34794,8.3631,-0.696,9.4E-6,8.225894,0.080048379,298.64875,3.094,9.821958,0.03172,13.609869,0.03222,1.3991382,1.3754143,0.015520434,94.636038,361.12541,1.73,1,,,,9.9390484E-6,2.7742405,67.665333,36.305932,0
20732479.36,,5905,9.0369,9.054,-0.696,9.4E-6,8.9001957,0.081351626,372.98836,3.775,11.990179,0.03824,16.720976,0.03884,1.9526533,1.5372382,0.018117635,94.46026,362.82424,1.703,1,,,,1.0928958E-5,2.7508285,79.213483,41.907883,0
20732510.89,,5905,9.038,9.0556,-0.696,9.4E-6,8.9039653,0.086604439,373.25178,3.791,12.005208,0.03833,16.739346,0.03908,1.5182995,1.5449857,0.019953773,93.954902,362.8925,1.708,1,,,,1.089112E-5,3.0744764,79.280598,41.919725,0
20732542.56,,5905,9.03848,9.0552,-0.696,9.4E-6,8.904512,0.086814041,373.64175,3.801,12.00721,0.03834,16.746294,0.03922,0.79263889,1.5451181,0.020706298,93.741525,362.78848,1.71,1,,,,1.0896937E-5,3.0899713,79.290334,41.960946,0
20732786.66,,5905,9.78364,9.8032,-0.696,9.4E-6,9.6353039,0.088327558,464.7837,5.136,14.614728,0.05402,20.509812,0.05501,1.3473327,1.7209372,0.022706499,93.88565,365.01457,1.848,1,,,,1.1982799E-5,3.0902362,92.839081,48.237576,0
20732820.09,,5905,9.78442,9.8035,-0.696,9.4E-6,9.6394608,0.094037083,465.50892,5.137,14.632224,0.05413,20.536505,0.055,1.4523826,1.7089229,0.020745793,94.352253,364.98231,1.845,1,,,,1.2077414E-5,3.4418744,92.919204,48.292008,0
20732853.97,,5905,9.78489,9.804,-0.696,9.1E-6,9.6402257,0.093517157,465.73609,5.139,14.634737,0.05414,20.541899,0.05502,1.5171444,1.7038318,0.020760398,94.333071,364.95192,1.845,1,,,,1.211693E-5,3.4178458,92.933952,48.311741,0
20733103.91,,5905,10.5929,10.6133,-0.696,9.4E-6,10.430809,0.094747458,591.31112,6.772,17.706626,0.07222,25.20652,0.07355,1.4439755,1.9150965,0.024296362,94.217898,364.67714,1.903,1,,,,1.3234443E-5,3.4076637,108.80178,56.688903,0
20733139.56,,5905,10.5929,10.6134,-0.696,9.4E-6,10.435341,0.10239744,590.57162,6.739,17.717062,0.07227,25.207576,0.07308,0.95916999,1.9136843,0.023809179,94.320585,364.98779,1.898,1,,,,1.3243198E-5,3.830193,108.89634,56.59342,0
20733175.53,,5905,10.5936,10.615,-0.696,9.3E-6,10.436147,0.1022874,591.20067,6.739,17.720068,0.07228,25.21856,0.07306,1.8845226,1.9095208,0.022034429,94.716433,364.88647,1.896,1,,,,1.3272646E-5,3.8273686,108.91316,56.649326,0
20733430.95,,5905,11.4683,11.4878,-0.696,9.4E-6,11.295561,0.10424514,757.22449,7.726,21.426737,0.07922,31.030992,0.07983,2.5291064,2.1409385,0.025478348,94.670561,363.65941,1.719,1,,,,1.4573216E-5,3.8190416,127.58969,67.037352,0
20733467.56,,5905,11.469,11.4877,-0.696,9.4E-6,11.30043,0.11131177,755.31907,7.749,21.451974,0.07921,31.032062,0.08028,0.67332696,2.1291618,0.024152922,94.90304,364.12184,1.729,1,,,,1.4650241E-5,4.281877,127.69971,66.839854,0
20733503.59,,5905,11.4695,11.4886,-0.696,9.3E-6,11.300682,0.11099687,756.6516,7.725,21.453113,0.07921,31.050102,0.07984,3.1126148,2.1350424,0.024378246,94.874127,363.91607,1.721,1,,,,1.4619018E-5,4.2583236,127.7054,66.95628,0
20733765.06,,5905,12.4145,12.4374,-0.696,9.3E-6,12.230178,0.11273866,972.72254,8.793,25.89929,0.08251,38.236815,0.08432,0.83687024,2.396282,0.026650269,95.107642,362.21384,1.536,1,,,,1.6043147E-5,4.2700849,149.57724,79.534622,0
20733804.47,,5905,12.4169,12.4388,-0.696,9.1E-6,12.235917,0.12168921,976.5613,8.8,25.920837,0.08257,38.307051,0.08417,1.0453952,2.4206858,0.027796596,94.960049,361.90836,1.53,1,,,,1.5913712E-5,4.792564,149.71766,79.811043,0
20733843.38,,5905,12.4179,12.4388,-0.696,9.3E-6,12.237278,0.12193825,976.94328,8.767,25.926972,0.08259,38.31803,0.08361,2.0223673,2.3976446,0.024986648,95.409437,361.90144,1.524,1,,,,1.606279E-5,4.8413715,149.75098,79.83338,0
20734113.17,,5905,13.4428,13.4647,-0.696,9.3E-6,13.242181,0.1229419,1264.958,11.28,31.254942,0.1056,47.299034,0.1071,2.141607,2.7169566,0.030453823,95.18393,359.30458,1.504,1,,,,1.7511335E-5,4.7952891,175.35537,95.524895,0
20734153.27,,5905,13.4433,13.4649,-0.696,9.4E-6,13.247644,0.13215515,1261.7302,11.28,31.290427,0.1058,47.29358,0.1072,2.3346379,2.7007868,0.029068656,95.363619,359.75905,1.509,1,,,,1.7609584E-5,5.4339132,175.50006,95.241859,0
20734193.34,,5905,13.4443,13.4674,-0.696,9.4E-6,13.248664,0.1316922,1265.6662,11.32,31.295415,0.1058,47.34849,0.1077,1.3008696,2.6996114,0.026351041,95.785042,359.41341,1.509,1,,,,1.7628597E-5,5.4015736,175.5271,95.531611,0
20734463.63,,5905,14.5503,14.5804,-0.696,9.4E-6,14.336865,0.13196274,1659.3941,15.06,37.622697,0.1425,58.669618,0.1448,2.1108642,3.0784538,0.03296561,95.499844,355.35808,1.512,1,,,,1.9174977E-5,5.3992228,205.5457,115.74316,0
